snapshot_date,customers,churners,churn_rate,average_recency,average_frequency,average_monetary,churn_rate_pct
2010-06-01,2669,1337,0.5009366804046459,59.162982390408395,2.929936305732484,1357.4564597227427,50.09366804046459
2010-07-01,2757,1358,0.4925643815741748,57.3126586869786,3.300689154878491,1521.605038447588,49.256438157417485
2010-08-01,2822,1215,0.43054571226080796,63.25761871013466,3.653082919914954,1673.8215591778883,43.054571226080796
2010-09-01,2831,1078,0.3807841752031084,66.71388202048746,4.022960084775698,1856.828014129283,38.07841752031084
2010-10-01,2910,1228,0.4219931271477663,60.66048109965636,4.403092783505155,2047.775363917526,42.19931271477663
2010-11-01,3209,1629,0.5076347771891555,52.492676846369584,4.602679962605173,2158.205200373948,50.76347771891555
2010-12-01,3479,2159,0.6205806266168439,47.97700488646163,4.948260994538661,2304.2029203794195,62.05806266168439
2011-01-01,3415,2129,0.6234260614934114,62.02547584187408,5.594436310395315,2578.2732210834556,62.34260614934114
2011-02-01,3359,2028,0.6037511164036916,74.00148853825543,5.87704674010122,2754.218862756773,60.37511164036916
2011-03-01,3349,1933,0.5771872200656912,81.18841445207525,6.0761421319796955,2849.5212839653627,57.71872200656912
2011-04-01,3304,1852,0.5605326876513317,81.24636803874093,6.385593220338983,3000.290871368039,56.05326876513317
2011-05-01,3049,1588,0.5208265004919646,77.8448671695638,7.01443096097081,3299.1075168907837,52.08265004919645
2011-06-01,2659,1328,0.4994358781496803,60.36743136517488,7.973298232418203,3812.7428123354644,49.94358781496803
2011-07-01,2724,1315,0.48274596182085167,59.76541850220264,8.145007342143906,3923.834338472834,48.27459618208517
2011-08-01,2771,1224,0.44171779141104295,62.537712017322264,8.36196319018405,4006.849271743053,44.171779141104295
2011-09-01,2772,1089,0.39285714285714285,65.59163059163059,8.676767676767676,4194.8801233766235,39.285714285714285
