customer_id,frequency,recency,T,monetary_value,probability_alive,expected_purchases_90d,expected_purchases_180d,expected_purchases_365d,expected_transaction_value,expected_revenue_clv_12m,historical_orders,historical_revenue,historical_units,historical_aov,first_purchase,last_purchase,clv_value_tier,rfm_segment,rfm_value_tier,rfm_total_score,rfm_action,ml_cluster,cluster_name,cluster_action
16446,1.0,205.0,205.0,168469.6,0.9548716943604096,0.5258744540689458,1.0402032018132372,2.0700963042166465,136380.83153343791,282508.431508292,2,168472.5,80997,84236.25,2011-05-18 09:52:00,2011-12-09 09:15:00,Strategic,Potential Loyalists,High Value,12,Encourage the next purchase with personalized recommendations and targeted incentives.,1,High-Value Loyal Customers,"Protect and reward through VIP benefits, personalized offers, early access, loyalty rewards, and proactive service."
18102,66.0,738.0,738.0,9189.930454545454,0.9984500917762266,7.469424626302078,14.860771782976363,29.84073578317404,9158.74264767278,273487.4075646846,149,608821.65,188340,4086.0513422818794,2009-12-01 09:24:00,2011-12-09 11:50:00,Strategic,Champions,High Value,15,"Reward with VIP benefits, early access, referral incentives, and premium experiences.",1,High-Value Loyal Customers,"Protect and reward through VIP benefits, personalized offers, early access, loyalty rewards, and proactive service."
14646,90.0,736.0,737.0,5809.905333333333,0.9987197896031889,10.17488316078811,20.243040606072597,40.64717976862292,5795.8542661402425,235743.54508689255,151,528602.52,367193,3500.678940397351,2009-12-02 16:52:00,2011-12-08 12:12:00,Strategic,Champions,High Value,15,"Reward with VIP benefits, early access, referral incentives, and premium experiences.",1,High-Value Loyal Customers,"Protect and reward through VIP benefits, personalized offers, early access, loyalty rewards, and proactive service."
17450,30.0,430.0,438.0,6919.189666666667,0.9945349234816827,5.467714772640535,10.849886423633624,21.693692092698896,6868.595889088797,149104.6575095664,53,246813.09,84700,4656.850754716981,2010-09-27 16:59:00,2011-12-01 13:29:00,Strategic,Champions,High Value,15,"Reward with VIP benefits, early access, referral incentives, and premium experiences.",1,High-Value Loyal Customers,"Protect and reward through VIP benefits, personalized offers, early access, loyalty rewards, and proactive service."
14096,16.0,97.0,101.0,4071.434375,0.9908502677248262,9.041676262520797,17.750993288838146,34.972797904749996,4018.6165817538167,140633.8613042497,17,65164.78999999999,16352,3833.22294117647,2011-08-30 10:49:00,2011-12-05 17:17:00,Strategic,Champions,High Value,15,"Reward with VIP benefits, early access, referral incentives, and premium experiences.",1,High-Value Loyal Customers,"Protect and reward through VIP benefits, personalized offers, early access, loyalty rewards, and proactive service."
14156,120.0,729.0,738.0,2605.775166666667,0.9966251385937279,13.497253360639636,26.852862169576166,53.919184316768344,2601.5203034947167,140366.17517940057,157,313759.82,165873,1998.4701910828026,2009-12-01 12:30:00,2011-11-30 10:54:00,Strategic,Champions,High Value,15,"Reward with VIP benefits, early access, referral incentives, and premium experiences.",1,High-Value Loyal Customers,"Protect and reward through VIP benefits, personalized offers, early access, loyalty rewards, and proactive service."
14911,254.0,737.0,738.0,1161.8061417322835,0.9994375696342405,28.569464217543054,56.83833076877642,114.12581001161477,1161.1345470024578,132604.52378815447,406,295832.39,149949,728.6512068965518,2009-12-01 11:41:00,2011-12-08 15:54:00,Strategic,Champions,High Value,15,"Reward with VIP benefits, early access, referral incentives, and premium experiences.",1,High-Value Loyal Customers,"Protect and reward through VIP benefits, personalized offers, early access, loyalty rewards, and proactive service."
13694,82.0,732.0,735.0,2365.279512195122,0.9982887373536812,9.296067955060906,18.494469221127776,37.13557773120794,2359.748851327366,87689.56093986816,144,196482.81,189205,1364.4639583333333,2009-12-04 15:26:00,2011-12-06 09:32:00,Strategic,Champions,High Value,15,"Reward with VIP benefits, early access, referral incentives, and premium experiences.",1,High-Value Loyal Customers,"Protect and reward through VIP benefits, personalized offers, early access, loyalty rewards, and proactive service."
12415,22.0,503.0,527.0,6460.528636363637,0.9885511092391099,3.410478445871521,6.774924141145784,13.569541223563723,6396.601340843325,86857.05325247976,28,144458.37,91447,5159.2275,2010-06-30 08:30:00,2011-11-15 14:22:00,Strategic,Champions,High Value,14,"Reward with VIP benefits, early access, referral incentives, and premium experiences.",1,High-Value Loyal Customers,"Protect and reward through VIP benefits, personalized offers, early access, loyalty rewards, and proactive service."
17511,50.0,735.0,737.0,3449.8982,0.9976912765347565,5.678847862367836,11.298431381955163,22.687814410896074,3435.748191101882,78002.03736553834,62,175603.55,119656,2832.315322580645,2009-12-02 10:52:00,2011-12-07 10:12:00,Strategic,Champions,High Value,15,"Reward with VIP benefits, early access, referral incentives, and premium experiences.",1,High-Value Loyal Customers,"Protect and reward through VIP benefits, personalized offers, early access, loyalty rewards, and proactive service."
16684,34.0,728.0,732.0,4293.930882352941,0.9964805356202506,3.904294263711527,7.767824985775143,15.5981201372076,4267.34861457214,66607.37849897226,55,147142.77,104810,2675.3230909090908,2009-12-07 12:56:00,2011-12-05 14:06:00,Strategic,Champions,High Value,15,"Reward with VIP benefits, early access, referral incentives, and premium experiences.",1,High-Value Loyal Customers,"Protect and reward through VIP benefits, personalized offers, early access, loyalty rewards, and proactive service."
15061,67.0,735.0,738.0,2008.116119402985,0.9980300241294033,7.578319145300019,15.077412293800355,30.275719169538974,2002.6054980901524,60671.09357185553,134,137818.52,80711,1028.4964179104477,2009-12-01 12:18:00,2011-12-06 12:06:00,Strategic,Champions,High Value,15,"Reward with VIP benefits, early access, referral incentives, and premium experiences.",1,High-Value Loyal Customers,"Protect and reward through VIP benefits, personalized offers, early access, loyalty rewards, and proactive service."
17949,70.0,736.0,737.0,1668.0297142857144,0.9984014303875091,7.927265663124683,15.771533449153269,31.66910260735153,1663.897419240081,52729.57233085557,119,118628.08,60658,996.8746218487395,2009-12-02 11:07:00,2011-12-08 18:46:00,Strategic,Champions,High Value,15,"Reward with VIP benefits, early access, referral incentives, and premium experiences.",1,High-Value Loyal Customers,"Protect and reward through VIP benefits, personalized offers, early access, loyalty rewards, and proactive service."
13089,131.0,735.0,737.0,887.6292366412214,0.9989023776841643,14.780016863771138,29.4046887836306,59.042305596892795,886.8213412709476,52395.183977774104,206,116647.53,60150,566.250145631068,2009-12-02 15:44:00,2011-12-07 09:02:00,Strategic,Champions,High Value,15,"Reward with VIP benefits, early access, referral incentives, and premium experiences.",1,High-Value Loyal Customers,"Protect and reward through VIP benefits, personalized offers, early access, loyalty rewards, and proactive service."
15311,195.0,738.0,738.0,593.6024102564103,0.9994685642911738,21.95064383555515,43.670494437118684,87.68664241020149,593.4148378826368,52069.543009973946,212,116575.49,70931,549.8843867924528,2009-12-01 11:21:00,2011-12-09 12:00:00,Strategic,Champions,High Value,15,"Reward with VIP benefits, early access, referral incentives, and premium experiences.",1,High-Value Loyal Customers,"Protect and reward through VIP benefits, personalized offers, early access, loyalty rewards, and proactive service."
16029,70.0,693.0,731.0,1696.9191428571428,0.954543305296167,7.636267833077992,15.192039917424838,30.50362095538103,1692.6897572306539,51667.88374634402,110,122035.14,56386,1109.4103636363636,2009-12-08 11:23:00,2011-11-01 10:27:00,Strategic,Champions,High Value,14,"Reward with VIP benefits, early access, referral incentives, and premium experiences.",1,High-Value Loyal Customers,"Protect and reward through VIP benefits, personalized offers, early access, loyalty rewards, and proactive service."
12931,42.0,717.0,738.0,2171.1271428571426,0.9925198323238292,4.751014600357481,9.452608890147484,18.981864274898044,2161.443693251457,41055.82318162253,57,92347.34,62906,1620.1287719298246,2009-12-01 11:46:00,2011-11-18 12:39:00,Strategic,Champions,High Value,14,"Reward with VIP benefits, early access, referral incentives, and premium experiences.",1,High-Value Loyal Customers,"Protect and reward through VIP benefits, personalized offers, early access, loyalty rewards, and proactive service."
14298,44.0,720.0,728.0,2023.1975,0.9963723057633387,5.056241827349713,10.059256878580552,20.197916488018983,2014.7412221051216,40720.937014046736,82,91194.49,100272,1112.1279268292683,2009-12-11 13:49:00,2011-12-01 13:12:00,Strategic,Champions,High Value,15,"Reward with VIP benefits, early access, referral incentives, and premium experiences.",1,High-Value Loyal Customers,"Protect and reward through VIP benefits, personalized offers, early access, loyalty rewards, and proactive service."
